NetBenchWithContentionMpiSsend_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^12	0.000546	60.024760
Send/Recv	2^13	0.001007	65.067966
Send/Recv	2^14	0.001712	76.576851
Send/Recv	2^15	0.003284	79.822490
Send/Recv	2^16	0.007986	65.654325
Send/Recv	2^17	0.017860	58.709934
Send/Recv	2^18	0.036498	57.459315
Send/Recv	2^19	0.073523	57.047739
Send/Recv	2^20	0.148534	56.475977
Send/Recv	2^21	0.297642	56.367069
Send/Recv	2^22	0.595189	56.376061
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000101	0.078821
Send/Recv	2^1	0.000103	0.155602
Send/Recv	2^2	0.000098	0.326559
Send/Recv	2^3	0.000103	0.622742
Send/Recv	2^4	0.000079	1.619264
Send/Recv	2^5	0.000080	3.208183
Send/Recv	2^6	0.000081	6.322528
Send/Recv	2^7	0.000083	12.385804
Send/Recv	2^8	0.000104	19.757788
Send/Recv	2^9	0.000100	40.842178
Send/Recv	2^10	0.000155	52.744094
Send/Recv	2^11	0.000213	76.882289
Send/Recv	2^12	0.000445	73.688609
Send/Recv	2^13	0.001114	58.829838
Send/Recv	2^14	0.002093	62.626185
Send/Recv	2^15	0.004001	65.513038
Send/Recv	2^16	0.008756	59.875454
Send/Recv	2^17	0.018130	57.837779
Send/Recv	2^18	0.036627	57.257371
Send/Recv	2^19	0.073751	56.871167
Send/Recv	2^20	0.147738	56.780162
Send/Recv	2^21	0.296814	56.524348
Send/Recv	2^22	0.595129	56.381812
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000080	0.100541
Send/Recv	2^1	0.000083	0.193530
Send/Recv	2^2	0.000088	0.363767
Send/Recv	2^3	0.000089	0.720362
Send/Recv	2^4	0.000097	1.317002
Send/Recv	2^5	0.000104	2.450673
Send/Recv	2^6	0.000099	5.185444
Send/Recv	2^7	0.000104	9.808858
Send/Recv	2^8	0.000107	19.217535
Send/Recv	2^9	0.000115	35.490710
Send/Recv	2^10	0.000160	51.129374
Send/Recv	2^11	0.000239	68.670405
Send/Recv	2^12	0.000470	69.771699
Send/Recv	2^13	0.001263	51.885683
Send/Recv	2^14	0.002211	59.269188
Send/Recv	2^15	0.004340	60.405108
Send/Recv	2^16	0.008963	58.495186
Send/Recv	2^17	0.018359	57.116176
Send/Recv	2^18	0.036045	58.180863
Send/Recv	2^19	0.074405	56.371301
Send/Recv	2^20	0.148530	56.477573
Send/Recv	2^21	0.297264	56.438730
Send/Recv	2^22	0.595270	56.368426
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000094	0.084976
Send/Recv	2^1	0.000104	0.154574
