nohup: can't execute './tests1.sh': Exec format error
NetBenchWithContention_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000054	0.149251
Send/Recv	2^1	0.000054	0.298537
Send/Recv	2^2	0.000054	0.595772
Send/Recv	2^3	0.000054	1.184687
Send/Recv	2^4	0.000079	1.621262
Send/Recv	2^5	0.000079	3.229796
Send/Recv	2^6	0.000079	6.465196
Send/Recv	2^7	0.000079	12.952141
Send/Recv	2^8	0.000104	19.648887
Send/Recv	2^9	0.000123	33.350985
Send/Recv	2^10	0.000183	44.664218
Send/Recv	2^11	0.000313	52.404408
Send/Recv	2^12	0.000520	63.005870
Send/Recv	2^13	0.001190	55.059776
Send/Recv	2^14	0.002275	57.620309
Send/Recv	2^15	0.004360	60.126881
Send/Recv	2^16	0.009166	57.199227
Send/Recv	2^17	0.018367	57.089402
Send/Recv	2^18	0.036874	56.873729
Send/Recv	2^19	0.073894	56.761232
Send/Recv	2^20	0.148702	56.412316
Send/Recv	2^21	0.297179	56.454984
Send/Recv	2^22	0.595217	56.373417
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.149551
Send/Recv	2^1	0.000054	0.298472
Send/Recv	2^2	0.000054	0.597092
Send/Recv	2^3	0.000054	1.184715
Send/Recv	2^4	0.000079	1.617549
Send/Recv	2^5	0.000079	3.228008
Send/Recv	2^6	0.000079	6.468973
Send/Recv	2^7	0.000079	12.959424
Send/Recv	2^8	0.000105	19.482067
Send/Recv	2^9	0.000121	33.836284
Send/Recv	2^10	0.000183	44.650601
Send/Recv	2^11	0.000288	56.920207
Send/Recv	2^12	0.000467	70.145847
Send/Recv	2^13	0.001274	51.441291
Send/Recv	2^14	0.002428	53.978879
Send/Recv	2^15	0.004567	57.394183
Send/Recv	2^16	0.008416	62.295394
Send/Recv	2^17	0.018150	57.773847
Send/Recv	2^18	0.037120	56.497059
Send/Recv	2^19	0.073915	56.745185
Send/Recv	2^20	0.148180	56.610956
Send/Recv	2^21	0.296994	56.490165
Send/Recv	2^22	0.594755	56.417200
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000054	0.149430
Send/Recv	2^1	0.000054	0.298224
Send/Recv	2^2	0.000054	0.594530
Send/Recv	2^3	0.000054	1.183033
Send/Recv	2^4	0.000079	1.614692
Send/Recv	2^5	0.000079	3.226787
