nohup: zignorowane dane wejściowe
NetBenchWithContentionMpiSsend_O3_native_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^21	0.344720	48.669110
Send/Recv	2^22	0.690367	48.603773
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075204
Send/Recv	2^1	0.000060	0.267234
Send/Recv	2^2	0.000063	0.506396
Send/Recv	2^3	0.000068	0.942783
Send/Recv	2^4	0.000077	1.651636
Send/Recv	2^5	0.000080	3.211022
Send/Recv	2^6	0.000085	6.034142
Send/Recv	2^7	0.000094	10.912174
Send/Recv	2^8	0.000094	21.680026
Send/Recv	2^9	0.000132	31.009513
Send/Recv	2^10	0.000205	40.036459
Send/Recv	2^11	0.000409	40.025651
Send/Recv	2^12	0.000632	51.815553
Send/Recv	2^13	0.001267	51.737116
Send/Recv	2^14	0.002679	48.931746
Send/Recv	2^15	0.005260	49.837485
Send/Recv	2^16	0.011027	47.544775
Send/Recv	2^17	0.020011	52.399833
Send/Recv	2^18	0.041687	50.306755
Send/Recv	2^19	0.086016	48.762150
Send/Recv	2^20	0.170548	49.186068
Send/Recv	2^21	0.344535	48.695274
Send/Recv	2^22	0.690519	48.593084
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000108	0.074120
Send/Recv	2^1	0.000068	0.234693
Send/Recv	2^2	0.000065	0.493442
Send/Recv	2^3	0.000072	0.889801
Send/Recv	2^4	0.000075	1.716675
Send/Recv	2^5	0.000091	2.800464
Send/Recv	2^6	0.000094	5.471465
Send/Recv	2^7	0.000094	10.904853
Send/Recv	2^8	0.000095	21.649926
Send/Recv	2^9	0.000133	30.762645
Send/Recv	2^10	0.000205	39.974138
Send/Recv	2^11	0.000307	53.287193
Send/Recv	2^12	0.000644	50.849023
Send/Recv	2^13	0.001502	43.620264
Send/Recv	2^14	0.002700	48.553772
Send/Recv	2^15	0.005088	51.517811
Send/Recv	2^16	0.009701	54.047295
Send/Recv	2^17	0.021792	48.117611
Send/Recv	2^18	0.042215	49.677368
Send/Recv	2^19	0.086321	48.589805
Send/Recv	2^20	0.171827	48.820135
Send/Recv	2^21	0.345207	48.600415
Send/Recv	2^22	0.690030	48.627489
NetBenchWithContentionMpiSsend_O2_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000108	0.074235
Send/Recv	2^1	0.000073	0.218741
Send/Recv	2^2	0.000076	0.421921
Send/Recv	2^3	0.000080	0.796854
Send/Recv	2^4	0.000076	1.690875
Send/Recv	2^5	0.000062	4.097053
Send/Recv	2^6	0.000089	5.781513
Send/Recv	2^7	0.000083	12.389563
Send/Recv	2^8	0.000096	21.389295
Send/Recv	2^9	0.000108	38.047113
Send/Recv	2^10	0.000155	52.970883
Send/Recv	2^11	0.000255	64.177617
Send/Recv	2^12	0.000531	61.725325
Send/Recv	2^13	0.001327	49.392374
Send/Recv	2^14	0.002574	50.914768
Send/Recv	2^15	0.005354	48.961165
Send/Recv	2^16	0.010460	50.123069
Send/Recv	2^17	0.020535	51.062023
Send/Recv	2^18	0.041448	50.597133
Send/Recv	2^19	0.085458	49.080146
Send/Recv	2^20	0.172683	48.578055
Send/Recv	2^21	0.344606	48.685281
Send/Recv	2^22	0.689010	48.699484
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075588
Send/Recv	2^1	0.000074	0.216187
Send/Recv	2^2	0.000076	0.418786
Send/Recv	2^3	0.000079	0.808471
Send/Recv	2^4	0.000053	2.426913
Send/Recv	2^5	0.000053	4.846420
Send/Recv	2^6	0.000063	8.136425
Send/Recv	2^7	0.000082	12.433490
Send/Recv	2^8	0.000093	21.906164
Send/Recv	2^9	0.000107	38.389803
Send/Recv	2^10	0.000155	52.843772
Send/Recv	2^11	0.000255	64.322871
Send/Recv	2^12	0.000604	54.267603
Send/Recv	2^13	0.001376	47.636319
Send/Recv	2^14	0.002800	46.809782
Send/Recv	2^15	0.005195	50.458531
Send/Recv	2^16	0.010674	49.119179
Send/Recv	2^17	0.021276	49.285042
Send/Recv	2^18	0.042131	49.777075
Send/Recv	2^19	0.085838	48.862782
Send/Recv	2^20	0.171583	48.889366
Send/Recv	2^21	0.345946	48.496660
Send/Recv	2^22	0.692851	48.429515
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000110	0.072824
Send/Recv	2^1	0.000070	0.228735
Send/Recv	2^2	0.000068	0.471371
Send/Recv	2^3	0.000068	0.941326
Send/Recv	2^4	0.000071	1.799755
Send/Recv	2^5	0.000079	3.245401
Send/Recv	2^6	0.000094	5.450875
Send/Recv	2^7	0.000094	10.901495
Send/Recv	2^8	0.000096	21.439825
Send/Recv	2^9	0.000131	31.253100
Send/Recv	2^10	0.000202	40.480008
Send/Recv	2^11	0.000348	47.127520
Send/Recv	2^12	0.000630	52.045991
Send/Recv	2^13	0.001371	47.786373
Send/Recv	2^14	0.002933	44.696288
Send/Recv	2^15	0.004919	53.295020
Send/Recv	2^16	0.010209	51.352988
Send/Recv	2^17	0.020418	51.354642
Send/Recv	2^18	0.042318	49.556641
Send/Recv	2^19	0.085316	49.161960
Send/Recv	2^20	0.172137	48.732053
Send/Recv	2^21	0.343784	48.801661
Send/Recv	2^22	0.687843	48.782075
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000108	0.074227
Send/Recv	2^1	0.000077	0.206947
Send/Recv	2^2	0.000079	0.406078
Send/Recv	2^3	0.000080	0.799305
Send/Recv	2^4	0.000078	1.639449
Send/Recv	2^5	0.000069	3.705286
Send/Recv	2^6	0.000090	5.695470
Send/Recv	2^7	0.000091	11.215790
Send/Recv	2^8	0.000087	23.544470
Send/Recv	2^9	0.000131	31.292735
Send/Recv	2^10	0.000200	40.968091
Send/Recv	2^11	0.000408	40.180006
Send/Recv	2^12	0.000650	50.441331
Send/Recv	2^13	0.001524	42.997828
Send/Recv	2^14	0.002747	47.718628
Send/Recv	2^15	0.005515	47.535962
Send/Recv	2^16	0.009770	53.661441
Send/Recv	2^17	0.021247	49.351790
Send/Recv	2^18	0.042833	48.960701
Send/Recv	2^19	0.086531	48.471659
Send/Recv	2^20	0.171597	48.885527
Send/Recv	2^21	0.343661	48.819019
Send/Recv	2^22	0.690148	48.619211
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075660
Send/Recv	2^1	0.000064	0.250398
Send/Recv	2^2	0.000074	0.430622
Send/Recv	2^3	0.000053	1.207103
Send/Recv	2^4	0.000076	1.694880
Send/Recv	2^5	0.000052	4.928446
Send/Recv	2^6	0.000089	5.772611
Send/Recv	2^7	0.000082	12.424901
Send/Recv	2^8	0.000093	21.945052
Send/Recv	2^9	0.000106	38.698645
Send/Recv	2^10	0.000200	40.869270
Send/Recv	2^11	0.000378	43.386671
Send/Recv	2^12	0.000631	51.915748
Send/Recv	2^13	0.001503	43.611251
Send/Recv	2^14	0.002808	46.683865
Send/Recv	2^15	0.005395	48.591631
Send/Recv	2^16	0.010272	51.041286
Send/Recv	2^17	0.021478	48.820376
Send/Recv	2^18	0.042682	49.134855
Send/Recv	2^19	0.085766	48.904116
Send/Recv	2^20	0.172232	48.705345
Send/Recv	2^21	0.344025	48.767447
Send/Recv	2^22	0.689379	48.673428
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000108	0.073960
Send/Recv	2^1	0.000074	0.216545
Send/Recv	2^2	0.000064	0.499803
Send/Recv	2^3	0.000067	0.961321
Send/Recv	2^4	0.000068	1.895199
Send/Recv	2^5	0.000073	3.504792
Send/Recv	2^6	0.000081	6.337483
Send/Recv	2^7	0.000083	12.388192
Send/Recv	2^8	0.000096	21.417217
Send/Recv	2^9	0.000137	29.974168
Send/Recv	2^10	0.000156	52.558641
Send/Recv	2^11	0.000253	64.832695
Send/Recv	2^12	0.000465	70.480261
Send/Recv	2^13	0.001543	42.460116
Send/Recv	2^14	0.002876	45.572301
Send/Recv	2^15	0.005128	51.120663
Send/Recv	2^16	0.009960	52.638189
Send/Recv	2^17	0.019804	52.948620
Send/Recv	2^18	0.043369	48.355980
Send/Recv	2^19	0.085447	49.086841
Send/Recv	2^20	0.172271	48.694307
Send/Recv	2^21	0.345023	48.626401
Send/Recv	2^22	0.689715	48.649731
No protocol specified
