nohup: zignorowane dane wejściowe
NetBenchWithContention_O3_native_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^10	0.000173	47.288093
Send/Recv	2^11	0.000277	59.117069
Send/Recv	2^12	0.000438	74.873556
Send/Recv	2^13	0.001539	42.593667
Send/Recv	2^14	0.002771	47.300729
Send/Recv	2^15	0.005577	47.006889
Send/Recv	2^16	0.010368	50.567192
Send/Recv	2^17	0.021545	48.669892
Send/Recv	2^18	0.041679	50.317215
Send/Recv	2^19	0.084824	49.447371
Send/Recv	2^20	0.171952	48.784655
Send/Recv	2^21	0.346137	48.469890
Send/Recv	2^22	0.692022	48.487491
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150404
Send/Recv	2^1	0.000053	0.300934
Send/Recv	2^2	0.000053	0.604805
Send/Recv	2^3	0.000053	1.210641
Send/Recv	2^4	0.000053	2.426158
Send/Recv	2^5	0.000057	4.529198
Send/Recv	2^6	0.000070	7.304814
Send/Recv	2^7	0.000080	12.777241
Send/Recv	2^8	0.000098	20.977911
Send/Recv	2^9	0.000131	31.219155
Send/Recv	2^10	0.000198	41.299274
Send/Recv	2^11	0.000402	40.763976
Send/Recv	2^12	0.000565	58.005495
Send/Recv	2^13	0.001362	48.122880
Send/Recv	2^14	0.002681	48.891226
Send/Recv	2^15	0.005188	50.530661
Send/Recv	2^16	0.010096	51.932265
Send/Recv	2^17	0.020388	51.430614
Send/Recv	2^18	0.043312	48.419353
Send/Recv	2^19	0.086096	48.716831
Send/Recv	2^20	0.172259	48.697769
Send/Recv	2^21	0.343703	48.813081
Send/Recv	2^22	0.689278	48.680556
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151197
Send/Recv	2^1	0.000053	0.302432
Send/Recv	2^2	0.000053	0.605079
Send/Recv	2^3	0.000053	1.210523
Send/Recv	2^4	0.000055	2.346996
Send/Recv	2^5	0.000057	4.510834
Send/Recv	2^6	0.000065	7.921956
Send/Recv	2^7	0.000079	13.037622
Send/Recv	2^8	0.000098	20.996407
Send/Recv	2^9	0.000135	30.442667
Send/Recv	2^10	0.000199	41.196261
Send/Recv	2^11	0.000311	52.639949
Send/Recv	2^12	0.000641	51.110238
Send/Recv	2^13	0.001260	51.994830
Send/Recv	2^14	0.002825	46.390378
Send/Recv	2^15	0.005323	49.245895
Send/Recv	2^16	0.010012	52.366212
Send/Recv	2^17	0.020420	51.351132
Send/Recv	2^18	0.042003	49.928783
Send/Recv	2^19	0.085388	49.120619
Send/Recv	2^20	0.170980	49.061942
Send/Recv	2^21	0.344809	48.656597
Send/Recv	2^22	0.690251	48.611946
NetBenchWithContention_O2_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151017
Send/Recv	2^1	0.000053	0.302086
Send/Recv	2^2	0.000053	0.604567
Send/Recv	2^3	0.000053	1.210629
Send/Recv	2^4	0.000053	2.423624
Send/Recv	2^5	0.000052	4.901887
Send/Recv	2^6	0.000057	8.904430
Send/Recv	2^7	0.000075	13.656754
Send/Recv	2^8	0.000097	21.013246
Send/Recv	2^9	0.000104	39.304118
Send/Recv	2^10	0.000173	47.262584
Send/Recv	2^11	0.000312	52.485737
Send/Recv	2^12	0.000565	58.029532
Send/Recv	2^13	0.001354	48.407904
Send/Recv	2^14	0.002703	48.485135
Send/Recv	2^15	0.005403	48.521648
Send/Recv	2^16	0.011027	47.544613
Send/Recv	2^17	0.020058	52.277853
Send/Recv	2^18	0.041226	50.870257
Send/Recv	2^19	0.086108	48.709638
Send/Recv	2^20	0.172568	48.610311
Send/Recv	2^21	0.344833	48.653221
Send/Recv	2^22	0.692128	48.480100
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150509
Send/Recv	2^1	0.000053	0.301051
Send/Recv	2^2	0.000053	0.602224
Send/Recv	2^3	0.000053	1.205350
Send/Recv	2^4	0.000053	2.414471
Send/Recv	2^5	0.000060	4.234594
Send/Recv	2^6	0.000067	7.647658
Send/Recv	2^7	0.000079	13.018620
Send/Recv	2^8	0.000099	20.632231
Send/Recv	2^9	0.000135	30.436786
Send/Recv	2^10	0.000181	45.364935
Send/Recv	2^11	0.000279	58.822579
Send/Recv	2^12	0.000565	58.008986
Send/Recv	2^13	0.001363	48.091734
Send/Recv	2^14	0.002791	46.960974
Send/Recv	2^15	0.005334	49.141545
Send/Recv	2^16	0.010072	52.052078
Send/Recv	2^17	0.021183	49.500531
Send/Recv	2^18	0.042787	49.014270
Send/Recv	2^19	0.086145	48.688993
Send/Recv	2^20	0.171041	49.044436
Send/Recv	2^21	0.344877	48.647006
Send/Recv	2^22	0.691514	48.523170
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151030
Send/Recv	2^1	0.000053	0.302112
Send/Recv	2^2	0.000053	0.604540
Send/Recv	2^3	0.000053	1.210442
Send/Recv	2^4	0.000053	2.423122
Send/Recv	2^5	0.000052	4.892491
Send/Recv	2^6	0.000056	9.193812
Send/Recv	2^7	0.000075	13.654244
Send/Recv	2^8	0.000088	23.390611
Send/Recv	2^9	0.000104	39.270203
Send/Recv	2^10	0.000173	47.277586
Send/Recv	2^11	0.000344	47.648545
Send/Recv	2^12	0.000481	68.093737
Send/Recv	2^13	0.001389	47.183623
Send/Recv	2^14	0.002925	44.806490
Send/Recv	2^15	0.005017	52.246330
Send/Recv	2^16	0.009699	54.055576
Send/Recv	2^17	0.021052	49.809029
Send/Recv	2^18	0.042749	49.057296
Send/Recv	2^19	0.085394	49.117012
Send/Recv	2^20	0.172209	48.711855
Send/Recv	2^21	0.343871	48.789203
Send/Recv	2^22	0.691038	48.556569
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151034
Send/Recv	2^1	0.000053	0.302144
Send/Recv	2^2	0.000053	0.604253
Send/Recv	2^3	0.000053	1.209993
Send/Recv	2^4	0.000053	2.421504
Send/Recv	2^5	0.000053	4.822184
Send/Recv	2^6	0.000054	9.508834
Send/Recv	2^7	0.000075	13.659304
Send/Recv	2^8	0.000098	20.983320
Send/Recv	2^9	0.000104	39.228080
Send/Recv	2^10	0.000173	47.294235
Send/Recv	2^11	0.000271	60.484012
Send/Recv	2^12	0.000563	58.152185
Send/Recv	2^13	0.001413	46.377878
Send/Recv	2^14	0.002676	48.986737
Send/Recv	2^15	0.005388	48.657548
Send/Recv	2^16	0.011010	47.617845
Send/Recv	2^17	0.021555	48.647222
Send/Recv	2^18	0.041870	50.087334
Send/Recv	2^19	0.085460	49.079145
Send/Recv	2^20	0.172827	48.537625
Send/Recv	2^21	0.346527	48.415373
Send/Recv	2^22	0.693589	48.377991
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150388
Send/Recv	2^1	0.000053	0.300952
Send/Recv	2^2	0.000053	0.601962
Send/Recv	2^3	0.000053	1.204858
Send/Recv	2^4	0.000053	2.411534
Send/Recv	2^5	0.000061	4.227279
Send/Recv	2^6	0.000063	8.090926
Send/Recv	2^7	0.000079	12.941373
Send/Recv	2^8	0.000099	20.656163
Send/Recv	2^9	0.000133	30.735406
Send/Recv	2^10	0.000200	40.916935
Send/Recv	2^11	0.000321	51.104259
Send/Recv	2^12	0.000441	74.315735
Send/Recv	2^13	0.001605	40.836304
Send/Recv	2^14	0.002762	47.453216
Send/Recv	2^15	0.005401	48.531834
Send/Recv	2^16	0.010715	48.929654
Send/Recv	2^17	0.019918	52.644721
Send/Recv	2^18	0.043112	48.643783
Send/Recv	2^19	0.086243	48.633370
Send/Recv	2^20	0.171384	48.946325
Send/Recv	2^21	0.343027	48.909284
Send/Recv	2^22	0.689584	48.658914
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150368
Send/Recv	2^1	0.000053	0.300905
Send/Recv	2^2	0.000053	0.601953
Send/Recv	2^3	0.000053	1.204762
Send/Recv	2^4	0.000053	2.411612
Send/Recv	2^5	0.000061	4.173906
Send/Recv	2^6	0.000069	7.463905
Send/Recv	2^7	0.000079	12.915467
Send/Recv	2^8	0.000099	20.593643
Send/Recv	2^9	0.000138	29.687075
Send/Recv	2^10	0.000201	40.777115
Send/Recv	2^11	0.000264	62.100242
Send/Recv	2^12	0.000564	58.049424
Send/Recv	2^13	0.001615	40.583663
Send/Recv	2^14	0.002683	48.857493
Send/Recv	2^15	0.005273	49.718364
Send/Recv	2^16	0.010712	48.941736
Send/Recv	2^17	0.021112	49.666556
Send/Recv	2^18	0.043334	48.395439
Send/Recv	2^19	0.085994	48.774640
Send/Recv	2^20	0.172543	48.617378
Send/Recv	2^21	0.345146	48.609056
Send/Recv	2^22	0.686788	48.857065
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
